date;value
2016-08-01;416538.0
2016-07-01;406013.0
2016-06-01;410100.0
2016-05-01;413059.0
2016-04-01;394764.0
2016-03-01;405012.0
2016-02-01;363543.0
2016-01-01;351787.0
2015-12-01;464014.0
2015-11-01;396067.0
2015-10-01;392602.0
2015-09-01;381996.0
2015-08-01;404923.0
2015-07-01;406550.0
2015-06-01;397809.0
2015-05-01;409453.0
2015-04-01;387358.0
2015-03-01;393094.0
2015-02-01;341828.0
2015-01-01;350291.0
2014-12-01;451076.0
2014-11-01;391483.0
2014-10-01;388387.0
2014-09-01;374398.0
2014-08-01;401439.0
2014-07-01;394691.0
2014-06-01;385475.0
2014-05-01;408282.0
2014-04-01;383818.0
2014-03-01;383559.0
2014-02-01;337480.0
2014-01-01;340473.0
2013-12-01;430568.0
2013-11-01;378685.0
2013-10-01;369777.0
2013-09-01;352673.0
2013-08-01;388221.0
2013-07-01;376970.0
2013-06-01;369316.0
2013-05-01;389674.0
2013-04-01;362965.0
2013-03-01;374159.0
2013-02-01;332481.0
2013-01-01;333694.0
2012-12-01;416807.0
2012-11-01;368593.0
2012-10-01;355823.0
2012-09-01;342582.0
2012-08-01;372986.0
2012-07-01;351520.0
2012-06-01;356083.0
2012-05-01;373129.0
2012-04-01;349194.0
2012-03-01;368502.0
2012-02-01;331470.0
2012-01-01;315540.0
2011-12-01;408910.0
2011-11-01;351517.0
2011-10-01;337067.0
2011-09-01;333642.0
2011-08-01;352224.0
2011-07-01;341381.0
2011-06-01;346620.0
2011-05-01;348979.0
2011-04-01;339014.0
2011-03-01;345052.0
2011-02-01;299920.0
2011-01-01;298626.0
2010-12-01;386878.0
2010-11-01;328381.0
2010-10-01;315059.0
2010-09-01;307638.0
2010-08-01;322319.0
2010-07-01;320915.0
2010-06-01;319183.0
2010-05-01;324820.0
2010-04-01;316940.0
2010-03-01;321305.0
2010-02-01;275566.0
2010-01-01;279044.0
2009-12-01;362735.0
2009-11-01;303850.0
2009-10-01;300360.0
2009-09-01;288071.0
2009-08-01;314505.0
2009-07-01;308847.0
2009-06-01;306050.0
2009-05-01;307481.0
2009-04-01;292041.0
2009-03-01;290068.0
2009-02-01;264465.0
2009-01-01;273998.0
2008-12-01;346513.0
2008-11-01;299238.0
2008-10-01;311422.0
2008-09-01;313308.0
2008-08-01;342443.0
2008-07-01;344158.0
2008-06-01;339791.0
2008-05-01;357277.0
2008-04-01;331002.0
2008-03-01;334416.0
2008-02-01;308171.0
2008-01-01;307576.0
2007-12-01;387473.0
2007-11-01;341848.0
2007-10-01;331073.0
2007-09-01;317145.0
2007-08-01;349191.0
2007-07-01;333815.0
2007-06-01;338189.0
2007-05-01;353201.0
2007-04-01;321981.0
2007-03-01;335917.0
2007-02-01;290065.0
2007-01-01;295284.0
2006-12-01;380188.0
2006-11-01;323089.0
2006-10-01;312976.0
2006-09-01;310775.0
2006-08-01;339155.0
2006-07-01;325905.0
2006-06-01;330844.0
2006-05-01;337393.0
2006-04-01;316526.0
2006-03-01;326153.0
2006-02-01;282417.0
2006-01-01;286152.0
2005-12-01;370726.0
2005-11-01;311715.0
2005-10-01;302213.0
2005-09-01;300439.0
2005-08-01;321409.0
2005-07-01;316887.0
2005-06-01;317375.0
2005-05-01;311292.0
2005-04-01;302054.0
2005-03-01;306384.0
2005-02-01;265320.0
2005-01-01;263469.0
2004-12-01;354627.0
2004-11-01;294278.0
2004-10-01;287468.0
2004-09-01;282974.0
2004-08-01;294133.0
2004-07-01;294875.0
2004-06-01;289664.0
2004-05-01;296253.0
2004-04-01;284325.0
2004-03-01;287944.0
2004-02-01;253689.0
2004-01-01;252818.0
2003-12-01;327693.0
2003-11-01;272396.0
2003-10-01;273781.0
2003-09-01;265331.0
2003-08-01;285212.0
2003-07-01;279323.0
2003-06-01;271242.0
2003-05-01;281482.0
2003-04-01;265990.0
2003-03-01;264532.0
2003-02-01;233478.0
2003-01-01;242271.0
2002-12-01;308821.0
2002-11-01;263738.0
2002-10-01;259945.0
2002-09-01;246350.0
2002-08-01;277716.0
2002-07-01;266795.0
2002-06-01;260385.0
2002-05-01;271682.0
2002-04-01;257357.0
2002-03-01;257133.0
2002-02-01;228084.0
2002-01-01;230546.0
2001-12-01;298666.0
2001-11-01;262004.0
2001-10-01;265188.0
2001-09-01;236210.0
2001-08-01;266460.0
2001-07-01;251504.0
2001-06-01;260315.0
2001-05-01;268658.0
2001-04-01;249062.0
2001-03-01;253439.0
2001-02-01;223971.0
2001-01-01;226791.0
2000-12-01;294197.0
2000-11-01;252145.0
2000-10-01;245167.0
2000-09-01;243624.0
2000-08-01;257487.0
2000-07-01;244445.0
2000-06-01;255066.0
2000-05-01;257581.0
2000-04-01;239051.0
2000-03-01;253717.0
2000-02-01;227087.0
2000-01-01;213709.0
1999-12-01;293013.0
1999-11-01;240857.0
1999-10-01;233193.0
1999-09-01;230665.0
1999-08-01;240478.0
1999-07-01;236992.0
1999-06-01;236830.0
1999-05-01;237462.0
1999-04-01;227109.0
1999-03-01;230230.0
1999-02-01;199451.0
1999-01-01;196810.0
1998-12-01;265618.0
1998-11-01;218969.0
1998-10-01;220499.0
1998-09-01;208915.0
1998-08-01;216605.0
1998-07-01;217687.0
1998-06-01;220867.0
1998-05-01;221155.0
1998-04-01;212262.0
1998-03-01;207973.0
1998-02-01;183767.0
1998-01-01;187445.0
1997-12-01;249389.0
1997-11-01;207533.0
1997-10-01;210145.0
1997-09-01;201415.0
1997-08-01;211952.0
1997-07-01;208856.0
1997-06-01;205491.0
1997-05-01;211516.0
1997-04-01;199219.0
1997-03-01;203750.0
1997-02-01;178428.0
1997-01-01;181073.0
1996-12-01;237478.0
1996-11-01;203621.0
1996-10-01;201927.0
1996-09-01;189424.0
1996-08-01;204270.0
1996-07-01;197140.0
1996-06-01;196842.0
1996-05-01;205797.0
1996-04-01;191886.0
1996-03-01;191851.0
1996-02-01;173941.0
1996-01-01;167372.0
1995-12-01;227552.0
1995-11-01;193405.0
1995-10-01;184276.0
1995-09-01;182521.0
1995-08-01;193370.0
1995-07-01;182909.0
1995-06-01;191609.0
1995-05-01;190269.0
1995-04-01;176635.0
1995-03-01;181910.0
1995-02-01;155156.0
1995-01-01;158004.0
1994-12-01;221549.0
1994-11-01;184272.0
1994-10-01;178642.0
1994-09-01;175128.0
1994-08-01;182445.0
1994-07-01;173198.0
1994-06-01;178509.0
1994-05-01;175527.0
1994-04-01;170795.0
1994-03-01;173562.0
1994-02-01;146332.0
1994-01-01;145276.0
1993-12-01;206174.0
1993-11-01;169980.0
1993-10-01;163992.0
1993-09-01;159298.0
1993-08-01;163989.0
1993-07-01;164590.0
1993-06-01;162964.0
1993-05-01;163519.0
1993-04-01;158615.0
1993-03-01;153025.0
1993-02-01;134462.0
1993-01-01;137020.0
1992-12-01;191347.0
1992-11-01;154824.0
1992-10-01;155987.0
1992-09-01;148158.0
1992-08-01;152476.0
1992-07-01;152586.0
1992-06-01;151849.0
1992-05-01;152420.0
1992-04-01;147175.0
1992-03-01;142488.0
1992-02-01;131244.0
1992-01-01;130683.0
